RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-0205-001,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-02,,SOW-046,SOW-046: Implement baseline frontend workflow shell,,DEL-02-05 implements SOW-046 (baseline frontend workflow shell: PORTAL/PIPELINE frame file tree panel chat panel directory selection project-root wiring),Datasheet.md,Identification > Scope Coverage,Scope Coverage: SOW-046,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Datasheet and _CONTEXT.md both explicitly state SOW-046 as the scope item.
v3.1,DEP-0205-002,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,OBJ-005: Desktop UI supports intended operator workflow,,DEL-02-05 supports OBJ-005 (Desktop UI supports intended operator workflow),Datasheet.md,Identification > Supports Objectives,Supports Objectives: OBJ-005 OBJ-008,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Datasheet explicitly lists OBJ-005.
v3.1,DEP-0205-003,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,OBJ-008: Local frontend runtime baseline exists and is executable from this repository only,,DEL-02-05 supports OBJ-008 (local frontend runtime baseline exists and is executable from this repository only),Datasheet.md,Identification > Supports Objectives,Supports Objectives: OBJ-005 OBJ-008,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Datasheet explicitly lists OBJ-008. Decomposition Scope Amendment A1 confirms.
v3.1,DEP-0205-004,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-01,DEL-01-03,,Frontend Workspace Bootstrap & Packaging Baseline,,DEL-02-05 requires DEL-01-03 (FE-1 workspace bootstrap) to be at least scaffolded before shell implementation begins per phased plan FE-1 -> FE-2 -> FE-3,Procedure.md,Prerequisites > Required Deliverables / Inputs,"DEL-01-03 (FE-1) Must be at least scaffolded before shell implementation begins",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Procedure Prerequisites table explicitly states prerequisite. Guidance C5 and Datasheet Conditions (FE-3 after FE-1) confirm.
v3.1,DEP-0205-005,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-03,DEL-03-07,,Harness API Baseline in Frontend Runtime,,DEL-02-05 requires DEL-03-07 (FE-2 harness API baseline) to be available or stubbed for end-to-end wiring verification,Procedure.md,Prerequisites > Required Deliverables / Inputs,"DEL-03-07 (FE-2) Should be available or stubbed for end-to-end wiring verification",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Procedure Prerequisites table explicitly states prerequisite. Guidance Purpose and Datasheet Conditions (FE-3 after FE-2) confirm.
v3.1,DEP-0205-006,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,AGENTS-S3,AGENTS.md Section 3 (Agent Matrix definition),AGENTS.md,DEL-02-05 requires AGENTS.md Section 3 as authoritative input for the 3x4 Agent Matrix structure cell-to-page routing rules and PIPELINE category breakdown,Specification.md,Requirements > REQ-02 REQ-03,"AGENTS.md Section 3; docs/PLAN.md Section 2",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Multiple specification requirements (REQ-02 REQ-03) and procedure prerequisites reference AGENTS.md Section 3 as the authoritative matrix definition.
v3.1,DEP-0205-007,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,PLAN-S2,docs/PLAN.md Section 2 (Frontend phased plan and matrix navigation),docs/PLAN.md,DEL-02-05 requires docs/PLAN.md Section 2 as authoritative input for phased plan position TASK* selector model and option policy,Specification.md,Requirements > REQ-03 REQ-04,"AGENTS.md Section 3; docs/PLAN.md Section 2",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Specification REQ-03 REQ-04 and Procedure prerequisites reference docs/PLAN.md Section 2 as authoritative for selector model and option policy.
v3.1,DEP-0205-008,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-02,DEL-02-01,,FileTree Refresh & External-Change Detection,,DEL-02-05 provides the file tree panel container that DEL-02-01 populates with refresh behavior (polling + focus/visibility refresh),Guidance.md,Considerations > C1: Relationship to Sibling PKG-02 Deliverables,"DEL-02-05 provides the file tree panel container; DEL-02-01 adds refresh behavior",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Guidance C1 table explicitly describes handover. Specification Excluded section confirms boundary.
v3.1,DEP-0205-009,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-02,DEL-02-02,,Portal-Pipeline Navigation & Deliverable Key Semantics,,DEL-02-05 provides the PORTAL/PIPELINE frame and page routing that DEL-02-02 enhances with navigation semantics and shared deliverables state,Guidance.md,Considerations > C1: Relationship to Sibling PKG-02 Deliverables,"DEL-02-05 provides the PORTAL/PIPELINE frame; DEL-02-02 adds navigation semantics and shared state",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Guidance C1 table explicitly describes handover. Specification Excluded section and Boundary Notes confirm boundary.
v3.1,DEP-0205-010,PKG-02,DEL-02-05,Frontend Workflow Shell Baseline,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-02,DEL-02-04,,Multi-pane Layout + Theme Hardening,,DEL-02-05 provides the base panel structure that DEL-02-04 enhances with resizing collapsing and theme hardening,Guidance.md,Considerations > C1: Relationship to Sibling PKG-02 Deliverables,"DEL-02-05 provides the base panel structure; DEL-02-04 adds resizing collapsing and theme hardening",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-22,2026-02-22,ACTIVE,FACT. Guidance C1 table explicitly describes handover. Procedure Step 5 notes layout slot coordination with DEL-02-04.
